date,openings_rate,quits_rate,hires_rate,layoffs_rate,unemployed,openings,vu
2003-07-01,0.022000000000000002,0.017,0.036000000000000004,0.016,9011,2981,0.33081788924647654
2003-08-01,0.024,0.017,0.036000000000000004,0.017,8896,3190,0.3585881294964029
2003-09-01,0.023,0.018000000000000002,0.037000000000000005,0.015,8921,3091,0.34648581997533906
2003-10-01,0.025,0.019,0.038,0.015,8732,3305,0.37849289967934036
2003-11-01,0.025,0.018000000000000002,0.037000000000000005,0.015,8576,3324,0.38759328358208955
2003-12-01,0.025,0.019,0.038,0.015,8317,3414,0.4104845497174462
2004-01-01,0.026000000000000002,0.018000000000000002,0.037000000000000005,0.016,8370,3424,0.40908004778972523
2004-02-01,0.026000000000000002,0.019,0.037000000000000005,0.015,8167,3532,0.4324721439941227
2004-03-01,0.026000000000000002,0.02,0.04,0.016,8491,3525,0.4151454481215405
2004-04-01,0.026000000000000002,0.019,0.039,0.015,8170,3511,0.4297429620563035
2004-05-01,0.027000000000000003,0.018000000000000002,0.038,0.015,8212,3710,0.4517778860204579
2004-06-01,0.025,0.02,0.038,0.013999999999999999,8286,3337,0.4027274921554429
2004-07-01,0.027999999999999997,0.02,0.037000000000000005,0.013999999999999999,8136,3814,0.46878072763028517
2004-08-01,0.026000000000000002,0.02,0.038,0.015,7990,3541,0.44317897371714643
2004-09-01,0.027999999999999997,0.019,0.038,0.015,7927,3821,0.4820234641100038
2004-10-01,0.028999999999999998,0.019,0.039,0.013999999999999999,8061,3943,0.4891452673365587
2004-11-01,0.026000000000000002,0.021,0.039,0.015,7932,3472,0.437720625315179
2004-12-01,0.03,0.02,0.039,0.015,7934,4074,0.5134862616586842
2005-01-01,0.027999999999999997,0.021,0.039,0.015,7784,3804,0.4886947584789311
2005-02-01,0.028999999999999998,0.02,0.04,0.016,7980,3965,0.4968671679197995
2005-03-01,0.028999999999999998,0.021,0.04,0.016,7737,4044,0.5226832105467235
2005-04-01,0.03,0.021,0.04,0.015,7672,4159,0.5421011470281544
2005-05-01,0.027999999999999997,0.021,0.039,0.015,7651,3797,0.4962749967324533
2005-06-01,0.028999999999999998,0.021,0.04,0.015,7524,4062,0.539872408293461
2005-07-01,0.031,0.02,0.04,0.013999999999999999,7406,4256,0.5746691871455577
2005-08-01,0.03,0.022000000000000002,0.04,0.013999999999999999,7345,4142,0.5639210347174949
2005-09-01,0.031,0.023,0.040999999999999995,0.015,7553,4352,0.5761948894479015
2005-10-01,0.03,0.021,0.038,0.013999999999999999,7453,4184,0.5613846773111498
2005-11-01,0.031,0.021,0.04,0.013000000000000001,7566,4248,0.5614591593973037
2005-12-01,0.031,0.021,0.039,0.013999999999999999,7279,4282,0.5882676191784586
2006-01-01,0.031,0.022000000000000002,0.039,0.013000000000000001,7064,4397,0.6224518686296716
2006-02-01,0.031,0.022000000000000002,0.04,0.013999999999999999,7184,4325,0.6020322939866369
2006-03-01,0.034,0.022000000000000002,0.040999999999999995,0.013999999999999999,7072,4732,0.6691176470588235
2006-04-01,0.034,0.02,0.038,0.013999999999999999,7120,4790,0.672752808988764
2006-05-01,0.032,0.022000000000000002,0.04,0.015,6980,4463,0.6393982808022922
2006-06-01,0.033,0.022000000000000002,0.04,0.013000000000000001,7001,4614,0.6590487073275246
2006-07-01,0.031,0.022000000000000002,0.040999999999999995,0.013999999999999999,7175,4394,0.612404181184669
2006-08-01,0.033,0.022000000000000002,0.039,0.013000000000000001,7091,4710,0.6642222535608517
2006-09-01,0.033,0.021,0.039,0.013000000000000001,6847,4737,0.6918358405140937
2006-10-01,0.032,0.022000000000000002,0.039,0.013999999999999999,6727,4591,0.6824736137951538
2006-11-01,0.033,0.022000000000000002,0.04,0.013999999999999999,6872,4645,0.6759313154831199
2006-12-01,0.033,0.022000000000000002,0.038,0.013000000000000001,6762,4620,0.6832298136645962
2007-01-01,0.033,0.021,0.039,0.013999999999999999,7116,4763,0.6693367060146149
2007-02-01,0.033,0.021,0.038,0.013000000000000001,6927,4699,0.6783600404215389
2007-03-01,0.035,0.022000000000000002,0.04,0.013999999999999999,6731,4962,0.7371861536175902
2007-04-01,0.033,0.021,0.039,0.015,6850,4689,0.6845255474452555
2007-05-01,0.033,0.022000000000000002,0.04,0.013999999999999999,6766,4657,0.688294413242684
2007-06-01,0.034,0.021,0.038,0.013000000000000001,6979,4859,0.6962315517982519
2007-07-01,0.032,0.021,0.038,0.013999999999999999,7149,4598,0.6431668764862218
2007-08-01,0.032,0.022000000000000002,0.039,0.015,7067,4546,0.643271543795104
2007-09-01,0.033,0.019,0.039,0.016,7170,4652,0.6488145048814505
2007-10-01,0.032,0.021,0.039,0.013999999999999999,7237,4636,0.6405969324305651
2007-11-01,0.033,0.02,0.037000000000000005,0.013999999999999999,7240,4646,0.6417127071823204
2007-12-01,0.032,0.02,0.037000000000000005,0.013999999999999999,7645,4545,0.5945062132112492
2008-01-01,0.032,0.021,0.037000000000000005,0.013999999999999999,7685,4624,0.6016916070266753
2008-02-01,0.03,0.021,0.037000000000000005,0.013999999999999999,7497,4279,0.5707616379885287
2008-03-01,0.03,0.019,0.036000000000000004,0.013999999999999999,7822,4225,0.5401431858859627
2008-04-01,0.027999999999999997,0.021,0.036000000000000004,0.013999999999999999,7637,4035,0.528348828073851
2008-05-01,0.03,0.019,0.034,0.013999999999999999,8395,4194,0.49958308516974387
2008-06-01,0.027000000000000003,0.019,0.036000000000000004,0.016,8575,3830,0.4466472303206997
2008-07-01,0.027000000000000003,0.018000000000000002,0.034,0.015,8937,3749,0.4194919995524225
2008-08-01,0.026000000000000002,0.018000000000000002,0.034,0.016,9438,3674,0.38927738927738925
2008-09-01,0.023,0.018000000000000002,0.033,0.015,9494,3222,0.33937223509585
2008-10-01,0.024,0.017,0.033,0.017,10074,3377,0.33521937661306334
2008-11-01,0.023,0.016,0.03,0.017,10538,3231,0.30660466881761245
2008-12-01,0.023,0.015,0.032,0.018000000000000002,11286,3146,0.2787524366471735
2009-01-01,0.02,0.015,0.031,0.019,12058,2738,0.22706916569912092
2009-02-01,0.021,0.015,0.03,0.019,12898,2864,0.2220499302217398
2009-03-01,0.019,0.013999999999999999,0.028999999999999998,0.019,13426,2534,0.18873826903023982
2009-04-01,0.017,0.013000000000000001,0.028999999999999998,0.02,13853,2295,0.16566808633508986
2009-05-01,0.019,0.013000000000000001,0.028999999999999998,0.017,14499,2549,0.17580522794675496
2009-06-01,0.019,0.013000000000000001,0.027999999999999997,0.017,14707,2503,0.1701910654790236
2009-07-01,0.017,0.013000000000000001,0.03,0.017,14601,2232,0.15286624203821655
2009-08-01,0.018000000000000002,0.012,0.028999999999999998,0.016,14814,2338,0.15782368030241664
2009-09-01,0.019,0.012,0.03,0.017,15009,2487,0.16570057965220866
2009-10-01,0.018000000000000002,0.013000000000000001,0.03,0.016,15352,2406,0.15672225117248567
2009-11-01,0.019,0.013999999999999999,0.031,0.015,15219,2503,0.1644654707930876
2009-12-01,0.019,0.013999999999999999,0.031,0.016,15098,2568,0.17008875347728175
2010-01-01,0.021,0.013000000000000001,0.03,0.013999999999999999,15046,2837,0.18855509770038548
2010-02-01,0.02,0.013999999999999999,0.03,0.013999999999999999,15113,2666,0.17640442003573084
2010-03-01,0.02,0.013999999999999999,0.033,0.015,15202,2679,0.17622681226154455
2010-04-01,0.024,0.015,0.032,0.013000000000000001,15325,3153,0.20574225122349102
2010-05-01,0.022000000000000002,0.013999999999999999,0.034,0.013000000000000001,14849,2988,0.20122567176240824
2010-06-01,0.021,0.015,0.031,0.016,14474,2801,0.1935194141218737
2010-07-01,0.023,0.013999999999999999,0.032,0.017,14512,3082,0.21237596471885337
2010-08-01,0.022000000000000002,0.013999999999999999,0.031,0.013999999999999999,14648,2999,0.2047378481703987
2010-09-01,0.022000000000000002,0.015,0.031,0.013999999999999999,14579,2918,0.20015090198230331
2010-10-01,0.024,0.013999999999999999,0.032,0.013000000000000001,14516,3235,0.22285753651143567
2010-11-01,0.024,0.013999999999999999,0.032,0.013999999999999999,15081,3211,0.21291691532391752
2010-12-01,0.023,0.015,0.033,0.013999999999999999,14348,3058,0.21313074993030387
2011-01-01,0.023,0.013999999999999999,0.031,0.013999999999999999,14013,3104,0.22150859915792478
2011-02-01,0.024,0.015,0.032,0.013000000000000001,13820,3226,0.23342981186685963
2011-03-01,0.024,0.015,0.034,0.013999999999999999,13737,3261,0.23738807599912645
2011-04-01,0.024,0.013999999999999999,0.033,0.013999999999999999,13957,3259,0.2335029017697213
2011-05-01,0.024,0.015,0.032,0.013999999999999999,13855,3179,0.2294478527607362
2011-06-01,0.026000000000000002,0.015,0.033,0.015,13962,3455,0.24745738432889272
2011-07-01,0.027000000000000003,0.015,0.032,0.013999999999999999,13763,3623,0.26324202572113636
2011-08-01,0.025,0.015,0.033,0.013999999999999999,13818,3329,0.24091764365320598
2011-09-01,0.027999999999999997,0.015,0.033,0.013999999999999999,13948,3774,0.27057642672784626
2011-10-01,0.027000000000000003,0.015,0.033,0.013999999999999999,13594,3619,0.2662203913491246
2011-11-01,0.026000000000000002,0.015,0.033,0.013999999999999999,13302,3565,0.26800481130657045
2011-12-01,0.027999999999999997,0.015,0.033,0.013999999999999999,13093,3768,0.2877873672955014
2012-01-01,0.027999999999999997,0.015,0.033,0.013000000000000001,12797,3909,0.30546221770727516
2012-02-01,0.026000000000000002,0.016,0.034,0.013999999999999999,12813,3616,0.28221337703894483
2012-03-01,0.028999999999999998,0.016,0.034,0.013000000000000001,12713,3979,0.3129867065208841
2012-04-01,0.027999999999999997,0.016,0.033,0.013999999999999999,12646,3793,0.2999367388897675
2012-05-01,0.027999999999999997,0.016,0.034,0.015,12660,3835,0.3029225908372828
2012-06-01,0.027999999999999997,0.016,0.033,0.013999999999999999,12692,3911,0.308146864166404
2012-07-01,0.027000000000000003,0.015,0.032,0.013000000000000001,12656,3735,0.29511694058154236
2012-08-01,0.027999999999999997,0.015,0.033,0.013999999999999999,12471,3809,0.30542859433886616
2012-09-01,0.027999999999999997,0.013999999999999999,0.032,0.013000000000000001,12115,3882,0.3204292199752373
2012-10-01,0.027000000000000003,0.015,0.033,0.013999999999999999,12124,3775,0.31136588584625535
2012-11-01,0.027999999999999997,0.015,0.033,0.013999999999999999,12005,3878,0.3230320699708455
2012-12-01,0.028999999999999998,0.015,0.033,0.013000000000000001,12298,3970,0.32281671816555535
2013-01-01,0.027999999999999997,0.017,0.033,0.012,12471,3923,0.314569801940502
2013-02-01,0.028999999999999998,0.017,0.034,0.012,11950,4004,0.3350627615062762
2013-03-01,0.028999999999999998,0.016,0.032,0.013000000000000001,11689,4076,0.34870390965865344
2013-04-01,0.028999999999999998,0.017,0.034,0.013000000000000001,11760,3988,0.3391156462585034
2013-05-01,0.03,0.016,0.034,0.013000000000000001,11654,4145,0.35567187231851727
2013-06-01,0.03,0.016,0.033,0.013000000000000001,11751,4150,0.353161433069526
2013-07-01,0.027999999999999997,0.017,0.033,0.013000000000000001,11335,3885,0.3427437141596824
2013-08-01,0.028999999999999998,0.017,0.035,0.013000000000000001,11279,4085,0.3621774980051423
2013-09-01,0.028999999999999998,0.017,0.035,0.013999999999999999,11270,4128,0.366282165039929
2013-10-01,0.03,0.017,0.033,0.012,11136,4222,0.3791307471264368
2013-11-01,0.028999999999999998,0.017,0.034,0.012,10787,4119,0.3818485213683137
2013-12-01,0.028999999999999998,0.017,0.034,0.013000000000000001,10404,4121,0.39609765474817377
2014-01-01,0.028999999999999998,0.017,0.034,0.013000000000000001,10202,4127,0.40452852381885906
2014-02-01,0.031,0.018000000000000002,0.034,0.013000000000000001,10349,4373,0.42255290366218956
2014-03-01,0.031,0.018000000000000002,0.035,0.012,10380,4388,0.42273603082851635
2014-04-01,0.032,0.018000000000000002,0.035,0.013000000000000001,9702,4566,0.4706246134817563
2014-05-01,0.033,0.018000000000000002,0.035,0.012,9859,4747,0.4814889948270616
2014-06-01,0.035,0.018000000000000002,0.035,0.013000000000000001,9460,4982,0.5266384778012685
2014-07-01,0.034,0.019,0.036000000000000004,0.013000000000000001,9608,4846,0.5043713572023314
2014-08-01,0.037000000000000005,0.018000000000000002,0.035,0.012,9599,5349,0.5572455464110845
2014-09-01,0.034,0.02,0.037000000000000005,0.012,9262,4914,0.530554955733103
2014-10-01,0.035,0.019,0.037000000000000005,0.013000000000000001,8990,5012,0.5575083426028921
2014-11-01,0.033,0.019,0.036000000000000004,0.012,9090,4843,0.5327832783278328
2014-12-01,0.035,0.018000000000000002,0.037000000000000005,0.013000000000000001,8717,5130,0.5885052196856717
2015-01-01,0.037000000000000005,0.02,0.036000000000000004,0.013000000000000001,8885,5344,0.6014631401238042
2015-02-01,0.037000000000000005,0.019,0.036000000000000004,0.012,8599,5466,0.6356553087568322
2015-03-01,0.036000000000000004,0.02,0.036000000000000004,0.013999999999999999,8515,5210,0.6118614210217264
2015-04-01,0.038,0.019,0.037000000000000005,0.013000000000000001,8550,5598,0.6547368421052632
2015-05-01,0.038,0.019,0.036000000000000004,0.012,8834,5563,0.629726058410686
2015-06-01,0.036000000000000004,0.019,0.036000000000000004,0.013000000000000001,8247,5248,0.6363526130714199
2015-07-01,0.040999999999999995,0.019,0.036000000000000004,0.012,8167,6056,0.7415207542549284
2015-08-01,0.037000000000000005,0.02,0.036000000000000004,0.012,7992,5467,0.6840590590590591
2015-09-01,0.037000000000000005,0.02,0.037000000000000005,0.013999999999999999,7907,5488,0.6940685468572151
2015-10-01,0.039,0.02,0.037000000000000005,0.013000000000000001,7922,5773,0.7287301186569048
2015-11-01,0.038,0.02,0.038,0.012,8000,5708,0.7135
2015-12-01,0.039,0.021,0.039,0.013000000000000001,7907,5845,0.7392184140634881
2016-01-01,0.04,0.02,0.036000000000000004,0.013000000000000001,7627,6012,0.7882522617018487
2016-02-01,0.039,0.021,0.038,0.013000000000000001,7702,5770,0.7491560633601662
2016-03-01,0.040999999999999995,0.02,0.037000000000000005,0.013000000000000001,7961,6129,0.7698781560105514
2016-04-01,0.039,0.021,0.037000000000000005,0.012,8067,5803,0.7193504400644601
2016-05-01,0.039,0.021,0.036000000000000004,0.013000000000000001,7652,5777,0.7549660219550445
2016-06-01,0.038,0.021,0.037000000000000005,0.012,7744,5742,0.7414772727272727
2016-07-01,0.04,0.021,0.038,0.012,7641,5962,0.7802643633032326
2016-08-01,0.038,0.021,0.037000000000000005,0.013000000000000001,7784,5677,0.72931654676259
2016-09-01,0.039,0.021,0.037000000000000005,0.011000000000000001,7953,5868,0.7378347793285552
2016-10-01,0.037000000000000005,0.021,0.036000000000000004,0.011000000000000001,7811,5591,0.7157854308027142
2016-11-01,0.04,0.021,0.037000000000000005,0.012,7553,5971,0.7905468025949953
2016-12-01,0.039,0.021,0.037000000000000005,0.012,7521,5964,0.7929796569605105
2017-01-01,0.037000000000000005,0.022000000000000002,0.038,0.012,7468,5617,0.7521424745581147
2017-02-01,0.039,0.021,0.037000000000000005,0.012,7379,5923,0.802683290418756
2017-03-01,0.038,0.022000000000000002,0.037000000000000005,0.012,7073,5811,0.821575003534568
2017-04-01,0.04,0.021,0.036000000000000004,0.012,7089,6091,0.8592185075469037
2017-05-01,0.038,0.021,0.037000000000000005,0.012,7000,5826,0.8322857142857143
2017-06-01,0.040999999999999995,0.022000000000000002,0.038,0.013000000000000001,6873,6305,0.9173577768077986
2017-07-01,0.040999999999999995,0.021,0.037000000000000005,0.013000000000000001,6892,6238,0.9051073708647708
2017-08-01,0.040999999999999995,0.021,0.038,0.013000000000000001,7082,6276,0.886190341711381
2017-09-01,0.040999999999999995,0.022000000000000002,0.037000000000000005,0.012,6854,6320,0.9220892909250072
2017-10-01,0.042,0.022000000000000002,0.038,0.012,6700,6408,0.9564179104477611
2017-11-01,0.040999999999999995,0.022000000000000002,0.037000000000000005,0.012,6774,6271,0.9257454974904045
2017-12-01,0.040999999999999995,0.022000000000000002,0.037000000000000005,0.012,6632,6336,0.9553679131483716
2018-01-01,0.043,0.02,0.037000000000000005,0.013000000000000001,6489,6621,1.020342117429496
2018-02-01,0.042,0.022000000000000002,0.038,0.012,6581,6552,0.9955933748670415
2018-03-01,0.044000000000000004,0.022000000000000002,0.038,0.012,6472,6818,1.053461063040791
2018-04-01,0.044000000000000004,0.023,0.038,0.012,6459,6877,1.064715900294163
2018-05-01,0.045,0.023,0.039,0.012,6196,7016,1.13234344738541
2018-06-01,0.046,0.023,0.039,0.012,6447,7230,1.121451838064216
2018-07-01,0.046,0.023,0.038,0.012,6195,7190,1.1606133979015334
2018-08-01,0.046,0.023,0.039,0.012,6156,7208,1.1708901884340481
2018-09-01,0.047,0.023,0.038,0.012,6073,7411,1.2203194467314342
2018-10-01,0.047,0.023,0.04,0.012,6211,7304,1.1759781033649976
2018-11-01,0.048,0.023,0.039,0.013000000000000001,6115,7594,1.2418642681929681
2018-12-01,0.048,0.023,0.039,0.012,6389,7489,1.17217091876663
2019-01-01,0.048,0.023,0.039,0.011000000000000001,6475,7502,1.1586100386100386
2019-02-01,0.045,0.024,0.038,0.012,6136,7066,1.1515645371577574
2019-03-01,0.046,0.023,0.038,0.011000000000000001,6202,7317,1.1797807158980973
2019-04-01,0.046,0.023,0.04,0.013000000000000001,5961,7272,1.2199295420231504
2019-05-01,0.046,0.023,0.038,0.012,5930,7275,1.22681281618887
2019-06-01,0.046,0.023,0.038,0.012,5935,7194,1.2121314237573715
2019-07-01,0.045,0.024,0.039,0.012,6061,7042,1.1618544794588352
2019-08-01,0.045,0.023,0.039,0.012,5945,7178,1.2074011774600504
2019-09-01,0.045,0.023,0.039,0.013000000000000001,5753,7124,1.2383104467234487
2019-10-01,0.046,0.023,0.038,0.012,5871,7289,1.2415261454607391
2019-11-01,0.043,0.023,0.039,0.012,5868,6888,1.1738241308793456
2019-12-01,0.042,0.023,0.039,0.013000000000000001,5853,6699,1.1445412608918504
2020-01-01,0.045,0.023,0.039,0.012,5869,7124,1.2138354063724655
2020-02-01,0.044000000000000004,0.023,0.039,0.013000000000000001,5753,6966,1.2108465148618113
2020-03-01,0.038,0.019,0.034,0.086,7206,5894,0.8179295031917846
2020-04-01,0.034,0.015,0.031,0.07,23084,4606,0.1995321434760007
2020-05-01,0.04,0.017,0.061,0.016,20929,5612,0.2681446796311338
2020-06-01,0.043,0.019,0.054000000000000006,0.016,17652,6129,0.34721278042148196
2020-07-01,0.045,0.022000000000000002,0.045,0.013000000000000001,16352,6530,0.399339530332681
2020-08-01,0.044000000000000004,0.021,0.043,0.011000000000000001,13461,6429,0.477601961221306
2020-09-01,0.044000000000000004,0.022000000000000002,0.042,0.011000000000000001,12554,6511,0.5186394774573841
2020-10-01,0.046,0.023,0.043,0.012,11072,6798,0.6139812138728323
2020-11-01,0.046,0.022000000000000002,0.040999999999999995,0.015,10694,6820,0.6377407892276042
2020-12-01,0.045,0.024,0.039,0.013000000000000001,10770,6773,0.6288765088207985
2021-01-01,0.048,0.023,0.039,0.011000000000000001,10260,7162,0.6980506822612086
2021-02-01,0.052000000000000005,0.024,0.040999999999999995,0.011000000000000001,10013,7827,0.7816838110456407
2021-03-01,0.055999999999999994,0.025,0.043,0.01,9772,8499,0.8697298403602128
2021-04-01,0.061,0.027000000000000003,0.042,0.01,9754,9346,0.9581710067664548
2021-05-01,0.064,0.026000000000000002,0.040999999999999995,0.009000000000000001,9260,9954,1.0749460043196544
2021-06-01,0.066,0.027999999999999997,0.045,0.009000000000000001,9481,10319,1.0883873009176248
2021-07-01,0.07,0.027999999999999997,0.046,0.01,8731,10983,1.2579315084182796
2021-08-01,0.069,0.027999999999999997,0.043,0.009000000000000001,8269,10872,1.314790180191075
2021-09-01,0.068,0.028999999999999998,0.045,0.01,7610,10834,1.42365308804205
2021-10-01,0.07,0.027999999999999997,0.045,0.009000000000000001,7267,11238,1.5464428237236825
2021-11-01,0.07,0.03,0.046,0.009000000000000001,6729,11199,1.664288898796255
2021-12-01,0.071,0.028999999999999998,0.045,0.009000000000000001,6413,11520,1.7963511617027912
2022-01-01,0.07,0.028999999999999998,0.043,0.009000000000000001,6533,11210,1.7159038726465636
2022-02-01,0.07200000000000001,0.027999999999999997,0.045,0.009000000000000001,6323,11698,1.8500711687490115
2022-03-01,0.075,0.028999999999999998,0.044000000000000004,0.009000000000000001,6033,12301,2.0389524283109566
2022-04-01,0.073,0.03,0.043,0.009000000000000001,5995,11861,1.9784820683903253
2022-05-01,0.071,0.027999999999999997,0.042,0.01,5979,11535,1.929252383341696
2022-06-01,0.069,0.027000000000000003,0.043,0.01,5975,11283,1.88836820083682
2022-07-01,0.07,0.026000000000000002,0.042,0.01,5770,11576,2.0062391681109184
2022-08-01,0.062,0.027999999999999997,0.042,0.01,5909,10092,1.7079031985107462
2022-09-01,0.066,0.027000000000000003,0.04,0.009000000000000001,5747,10800,1.8792413433095527
2022-10-01,0.064,0.026000000000000002,0.04,0.01,5949,10447,1.7560934610858967
2022-11-01,0.064,0.026000000000000002,0.04,0.01,5918,10632,1.7965528894896925
2022-12-01,0.066,0.027000000000000003,0.04,0.01,5781,10902,1.8858329008822003
2023-01-01,0.062,0.025,0.040999999999999995,0.011000000000000001,5770,10318,1.788214904679376
2023-02-01,0.06,0.025,0.039,0.01,5987,9857,1.6464005344913981
2023-03-01,0.059000000000000004,0.024,0.038,0.012,5859,9655,1.6478921317630995
2023-04-01,0.06,0.023,0.038,0.011000000000000001,5747,9966,1.734122150687315
2023-05-01,0.057,0.026000000000000002,0.039,0.01,6084,9368,1.5397764628533859
2023-06-01,0.055999999999999994,0.024,0.038,0.011000000000000001,5985,9180,1.5338345864661653
2023-07-01,0.053,0.023,0.036000000000000004,0.011000000000000001,5923,8657,1.4615904102650683
2023-08-01,0.055999999999999994,0.023,0.037000000000000005,0.011000000000000001,6275,9254,1.4747410358565738
2023-09-01,0.055999999999999994,0.023,0.037000000000000005,0.01,6274,9259,1.4757730315588142
2023-10-01,0.052000000000000005,0.023,0.037000000000000005,0.01,6463,8580,1.3275568621383258
2023-11-01,0.052000000000000005,0.023,0.035,0.01,6226,8602,1.3816254416961131
2023-12-01,0.052000000000000005,0.022000000000000002,0.036000000000000004,0.011000000000000001,6329,8520,1.3461842313161636
2024-01-01,0.051,0.021,0.036000000000000004,0.01,6175,8378,1.3567611336032388
2024-02-01,0.051,0.022000000000000002,0.036000000000000004,0.011000000000000001,6486,8440,1.3012642614862782
2024-03-01,0.05,0.021,0.035,0.01,6521,8206,1.2583959515411747
2024-04-01,0.046,0.022000000000000002,0.035,0.01,6486,7529,1.1608078939253776
2024-05-01,0.047,0.021,0.035,0.011000000000000001,6627,7782,1.1742870076957899
2024-06-01,0.045,0.021,0.033,0.009000000000000001,6881,7416,1.0777503269873565
2024-07-01,0.045,0.021,0.034,0.011000000000000001,7098,7426,1.046210200056354
2024-08-01,0.046,0.021,0.033,0.011000000000000001,7063,7520,1.0647033838312332
2024-09-01,0.042,0.02,0.034,0.011000000000000001,6849,6943,1.0137246313330412
2024-10-01,0.045,0.02,0.033,0.01,6951,7379,1.0615738742626961
2024-11-01,0.046,0.019,0.033,0.012,7089,7566,1.0672873465933135
2024-12-01,0.044000000000000004,0.019,0.033,0.011000000000000001,6920,7295,1.0541907514450868
2025-01-01,0.045,0.02,0.033,0.011000000000000001,6865,7431,1.0824471959213402
2025-02-01,0.044000000000000004,0.02,0.033,0.012,7104,7242,1.0194256756756757
2025-03-01,0.042,0.022000000000000002,0.034,0.01,7132,6952,0.9747616376892877
2025-04-01,0.043,0.02,0.034,0.011000000000000001,7155,7098,0.9920335429769392
2025-05-01,0.044000000000000004,0.021,0.034,0.011000000000000001,7248,7310,1.0085540838852096
2025-06-01,0.043,0.021,0.034,0.012,7054,7204,1.0212645307626877
2025-07-01,0.043,0.02,0.033,0.011000000000000001,7272,7089,0.9748349834983498
2025-08-01,0.042,0.02,0.032,0.012,7380,6919,0.9375338753387534
2025-09-01,0.043,0.019,0.033,0.011000000000000001,7605,7169,0.9426692965154504
2025-11-01,0.040999999999999995,0.02,0.032,0.01,7781,6846,0.8798354967227863
2025-12-01,0.04,0.02,0.033,0.011000000000000001,7503,6550,0.8729841396774624
2026-01-01,0.044000000000000004,0.02,0.034,0.01,7368,7240,0.9826275787187839
2026-02-01,0.042,0.019,0.031,0.011000000000000001,7571,6922,0.9142781666886804
2026-03-01,0.042,0.02,0.035,0.012,7239,6887,0.9513744992402265
2026-04-01,0.046,0.019,0.033,0.01,7373,7585,1.0287535602875355
2026-05-01,0.045,0.02,0.033,0.011000000000000001,7307,7537,1.031476666210483
2026-06-01,0.043,0.02,0.034,0.011000000000000001,7094,7182,1.0124048491683113
2026-07-01,0.044000000000000004,0.019,0.032,0.01,6916,7271,1.0513302486986698
